rank,aspect,mention_count,pct_of_aspects,mean_sentiment,median_sentiment,std_sentiment
526,bureaucracy,3,0.0,2.667,3.0,1.528
527,authenticity,3,0.0,3.667,4.0,1.528
528,accommodation/location preference,3,0.0,4.667,5.0,0.577
529,beach relaxation,3,0.0,4.667,5.0,0.577
530,rural area safety,2,0.0,3.0,3.0,1.414
531,aggregator platforms,2,0.0,5.0,5.0,0.0
532,island comparison,2,0.0,3.5,3.5,2.121
533,study abroad program,2,0.0,3.0,3.0,0.0
534,archaeological site,2,0.0,4.0,4.0,1.414
535,subway system,2,0.0,5.0,5.0,0.0
536,pedestrian infrastructure,2,0.0,3.0,3.0,1.414
537,tangier,2,0.0,4.0,4.0,1.414
538,age suitability,2,0.0,4.0,4.0,1.414
539,local vendors,2,0.0,3.0,3.0,1.414
540,people and culture,2,0.0,5.0,5.0,0.0
541,local wildlife,2,0.0,4.5,4.5,0.707
542,locals,2,0.0,5.0,5.0,0.0
543,summer palace,2,0.0,4.0,4.0,0.0
544,payment systems,2,0.0,2.0,2.0,1.414
545,bird watching,2,0.0,4.0,4.0,0.0
546,destination worth,2,0.0,3.0,3.0,1.414
547,destination variety,2,0.0,4.5,4.5,0.707
